procedure_code,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_SubCat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_CD_ADD_DT,HCPCS_CD_END_DT,RBCS_Release_Year,RBCS_Reassigned,Final_CY_Prior_to_Reassignment
00100,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00102,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00103,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1994,31Dec9999,2020,0,9999
00104,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00120,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00124,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00126,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00140,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00142,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00144,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00145,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00147,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1991,31Dec9999,2020,0,9999
00148,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00160,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00162,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00164,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00170,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00172,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00174,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00176,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00190,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00192,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00210,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00211,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2009,31Dec9999,2020,0,9999
00212,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00214,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00215,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1994,31Dec9999,2020,0,9999
00216,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00218,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00220,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00222,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00300,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00320,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00322,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00326,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00350,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00352,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00400,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00402,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00404,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00406,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00410,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00450,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00452,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2014,2020,0,9999
00454,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00470,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00472,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00474,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00500,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00520,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00522,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00524,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00528,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00529,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2004,31Dec9999,2020,0,9999
00530,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00532,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1992,31Dec9999,2020,0,9999
00534,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1993,31Dec9999,2020,0,9999
00537,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
00539,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00540,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00541,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00542,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00546,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00548,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00550,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
00560,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00561,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2005,31Dec9999,2020,0,9999
00562,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00563,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
00566,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
00567,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2009,31Dec9999,2020,0,9999
00580,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00600,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00604,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00620,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00622,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2014,2020,0,9999
00625,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2007,31Dec9999,2020,0,9999
00626,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2007,31Dec9999,2020,0,9999
00630,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00632,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00634,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2014,2020,0,9999
00635,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
